User,Project Description,BERTopic,LDATopic
23,"SignIFY' - Real-time Language Translation Sign Language. would like create system translate sign language gestures spoken language real time, making communication accessible deaf hard hearing.",-1,0.0
92,"1. Parent-Child Chores App app would two interfaces, one parent one child. parent interface would allow parents set chores deadlines incentives, including limited screen time, money, toys, etc. child would able verify completion tasks submitting image proof completed task, parent could approve completion release reward app.",-1,0.0
99,"Study spot locater Either mobile app website searching study spaces. filter search hours open (current time), level noise, distance current location, group study solo study, study resources (tutoring), charging, food allowed, etc.",-1,0.0
123,"Trip Itinerary Website - website helps users plan trip based selected location, duration trip, number total guests. website give user activities popular attractions see rough estimates much cost per guest.",-1,0.0
223,"Multiplication Tables Game App Website. app website displays simple multiplication problem (i.e. 12 x 12, 4 x 6, etc.) user answer many certain time span (like 1 minute). Could expanded cover division math problems time",-1,0.0
3,"want build algorithm pairs individuals based compatibility terms personality political views well would get along. work partnering, school partnering, dating apps, etc.",-1,1.0
76,ARC/CRCE Crowd Tracker,-1,1.0
173,"want create app provides support elderly emergency situations essentially try send help soon possible notifying someone app clicking button, somebody able come rescue them.",-1,1.0
196,create neural network.,-1,1.0
210,Create fake news detection system. able look news article see credible source not.,-1,1.0
242,"project would scheduling app high school. Right now, high school uses app called Saturn, recently Saturn raised privacy bullying concerns. make app specifically school(with mascot school pride slogans, similar Illinois App), maybe principal would consider it. not, could simply remove high school aspect make scheduling app anything. Although many scheduling apps there, would get good practice could also add features would otherwise pay want one app store.",-1,1.0
378,project idea develop website app analyzes user's YouTube search history identify interests connects others share similar interests. platform aims provide users easy fun way meet people common interests based YouTube usage patterns.,-1,1.0
69,"interesting project would something similar software product J.P. Morgan use trading desk. called Perspective seen here, open-sourced: https://perspective.finos.org/. Data visualization components gaining insight big data sources something versatile many cases, trading, spatial analysis, corporate consumer insight example. details specific use case determent later group. However, believe project would good simulation modern real-world project would entrain, complex front-end many customization, back-end high throughput high-frequency, potential cloud distributed implementation serviceability maintainability.",-1,2.0
141,"COVID-19 heat map based different demographics Though COVID-19 heat maps become redder based many total cases area, one I'm thinking filters depending demographics want see (such race, gender, socioeconomic class, religion, etc.)",-1,2.0
166,using data AI give solutions business owners problems,-1,2.0
281,Advanced AI chater Turning form text inputs outputs ChatGPT video inputs outputs,-1,2.0
360,"""RideShare"" - program enables users connect people willing drive another individual long distances split gas money (one person posts trip car people may request rideshare save gas expenses, split costs)",-1,2.0
366,program helps user pick plan life path.,-1,2.0
118,interview preparation website prompts user behavioral (and maybe even technical) questions. could potentially judge user's responses using AI. Responses could either spoken typed (spoken would definitely difficult).,-1,3.0
151,"project would pitch recognition software would present pitches chords audio input, either file live input. pitches would presented piano GUI visual feedback.",-1,3.0
272,Personal Finance Application UIUC students specifically.,-1,3.0
283,"program focuses helping teachers manage classroom quiet time. consist kind natural landscape, small animals appearing quiet time continues. Loud noises ""scare"" animals away.",-1,3.0
329,Analyzing effect misinformation campaigns adversaries nation states tweets subsequent reaction citizens.,-1,3.0
351,app allows users rank dining hall food options uses ranking determine menus overall dining hall ranks certain days depending food offering.,-1,3.0
367,Gift Recommender - application analyzes friends relatives social media accounts suggests specific products would like receive gifts.,-1,3.0
8,Skin Cancer Detection Program,-1,4.0
41,"project idea Recipe Finder. idea people, particularly students, could input ingredients homes refrigerators, possibly appliances disposal, based data various online resources cookbooks, website could return recipe fits ingredients appliances person inputted. could also return similarity score (eg: recipe 80% match ingredients). potentially thinking adding nutrition facts well, recipes returned could address daily nutritional needs.",-1,4.0
61,"mobile app similar google maps, gives map every bathroom/water fountain campus.",-1,4.0
121,want build app would allow people simulate simple circuits solve circuit problems,-1,4.0
153,"app monitors much pollution emit, help people reduce carbon footprint. would help users make eco-friendly decisions giving small tips based behavior patterns.",-1,4.0
208,application allows physically impaired users type operate computer using facial movements.,-1,4.0
335,"mobile flashcard app meant make experience studying fun using similar function game ""Heads Up"".",-1,4.0
64,Personal Radio (Website/App),0,
80,Classical Music Recommender app recommends classical music pieces users based pieces liked past.,0,
85,social media people like listen music.,0,
109,idea project suggest new music user based existing spotify history.,0,
128,app tracks workouts gives reminders,0,
