Team,User,Project Description,LDATopic,BERTopic
1,11,Real-Time ASL Translation App,-1,0
1,268,Pomodorro timer users use pomodoro technique productive.,-1,0
1,266,chrome extension links moodle canvas help university students connect people based niche problems may have.,-1,0
1,265,"VARGuard project aims implement risk management system, specifically focusing calculating analyzing Value Risk (VaR) portfolio assets. involves mathematical modeling optimization estimate potential loss value portfolio specific time horizon given confidence level.",-1,0
1,264,Using ML algorithms modern framework like Pytorch Tenserflow classification Twitter posts getting sentiment forum posts company website. would,-1,0
1,263,website generates music recommendations based book reading genre,-1,0
2,261,machine learning algorithm translate texts book,-1,0
2,260,App local artists use sell work,-1,0
2,258,way connect long-distance friends sending cute drawings everyday.,-1,0
2,256,app gives recommendations movies/shows/books/songs based previous entries given application.,-1,0
2,250,"Online Band app people could post compositions, tracks, instrumentals, vocals... etc. create full bands putting recordings together. Basically streamlined tiktok music duets.",-1,0
2,248,"Peer2Peer - Matching people need online tutoring help, people tutor",-1,0
3,240,"Create beginner-friendly gym workout tracking app allows users log exercises progress. app provide personalized workout recommendations based user's fitness goals previous workouts. Users also view workout history track overall fitness journey, making valuable tool looking stay motivated achieve fitness goals.",-1,0
3,239,Plant identifier clone,-1,0
3,238,"recently trying get shape completely lost gym achieve fitness goals, app helps guide people lifting routine, cardio routine, eating habits order help optimize time keeping would helpful, especially busy college students.",-1,0
3,232,"""AI-Generated Art Detector"" Detects art piece created AI humans",-1,0
3,231,"project would use machine learning algorithms detect embers wildfires. Detecting embers wildfires important aids detection wildfires, also prediction potential prevention future expansion fire.",-1,0
3,228,"Backpacking Trip Planner: platform allows user chart desired hiking route, either choose campsites allow program choose them. program generate separate, detailed itinerary day includes start finish locations, distance traveled, elevation chart, weather report, additional information user wants add, contained convenient report.",-1,0
4,224,Machine Learning project creates schedule user's future semesters UIUC based imports classes required wish take.,-1,0
4,386,"Weightlifting/Calisthenics Skill Tree app. Would transform one's fitness journey feel like game. Similar gain experience (XP) games level certain stats character, app would utilize progressive overload level stats push/pull/legs (or maybe even specific muscle groups).",-1,0
4,284,Fake News Detector: Recognize fake news analyzing sources data.,-1,0
4,288,Trading App,-1,0
4,289,Web/Mobile application help user individual soccer training library training drills videos machine learning algorithms suggest personalized training plans.,-1,0
4,305,"want utilize project reducing stress way, I'm completely sure would look like. However, know would begin determining ways treating stress online.",-1,0
5,384,Flashcard Software,-1,0
5,382,"music recommendation system across campus. using machine learning also user recommendations, helps recommend users music may enjoy, well maybe local concert/ music events attend. also helps connect may enjoy similar music tastes, help build connection community help people meet new people similar interests.",-1,0
5,374,"UIUC Forum (mobile app) mobile app allow people UIUC share write experiences would like share others, experiences buildings, restaurants, apartments, purchased items, anything. Moreover, used group people advertise themselves, projects, events, RSO, anything. Every users required provide verifiable evidence contents sharing.",-1,0
5,370,Programming drones deliver packages,-1,0
5,364,"app would help budgeting analyzing weekly spending patterns. user would input weekly spending earnings app would track ""non essentials"" suggest ways save",-1,0
5,363,"Hairstyle recommender Recommends hairstyles based facial features user preferences. create profile includes information like hair type, hair color, preferred hair length, style preferences. Additionally, virtually try-on recommended hairstyle image overlay technology.",-1,0
6,361,Using AI/ML create algorithms help people boost platforms different social media.,-1,0
6,354,Fake news detector. Python program helps online news readers find sources credible fake.,-1,0
6,349,app helps people fill FASFA.,-1,0
6,219,"Artificial Intelligence (in general). something want learn code, know works. would like project deals AI, make AI engine essentially detect mental health give feedback improve help make decisions, etc.",-1,0
6,347,Stock market analysts even people enjoy trading side hobby could use tool goes popular relevant news websites gather information stocks user owns watchlist help users make informed decisions trade stock market. project web scraper compiles sorts information internet find unbiased accurate data users learn without read large amounts literature.,-1,0
6,338,Food Rating website authentication users,-1,0
7,336,"map app crowdsources locates essential public services trash cans, bathrooms, mailboxes, etc. prioritizing accessibility needs preferences whether they're wheelchair-accessible.",-1,0
7,331,"app focus helping people create maintain garden. get tips reminders promote well-being plants. Users also able upload progress plants, get specific relevant feedback tips.",-1,0
7,324,"mobile app helps people decide go eat. either random generator restaurants user puts in, app takes location far willing travel randomly picks restaurant given preferences.",-1,0
7,322,app guide people take better pictures using ML analyze popular pictures social media,-1,0
7,318,Mood Tracking App - app users check track mood. able record feelings take notes felt day track mood time. app notify user specific time end day input data day.,-1,0
7,315,health tracking APP,-1,0
8,313,"Social media platform sentiment analysis, allows filter negative posts feel like seeing them.",-1,0
8,312,"Fitness tracking mobile app users type need, suggest videos Users type goal, app help analyzing Users input daily fitness food, app helps analyzing works",-1,0
8,343,Personalized sports betting system,-1,0
8,215,EasyTrack -> track homework studying,-1,0
8,220,"Web design based kotlin, java, python lost found",-1,0
8,110,"Involving school, believe needs better way reach others regarding organizations, clubs, volunteering, news, etc, public visually appealing way compared list clubs website, posters around campus, hopefully spread word.",-1,0
