Student_Responses,BERTopic,LDATopic
mobile game simulates building managing city.,0,
mobile game teaches basic coding skills.,0,
language learning app interactive games real-time conversations.,0,
app gamifies learning musical instrument.,0,
mobile-based escape room game.,0,
make education game math another simple subject engagement,0,
Build app,0,
app organizing playing board games virtually.,0,
voice-to-text transcription app lectures meetings.,0,
project would chess clone.,0,
mobile-based multiplayer trivia game.,0,
Design simple game.,0,
app helps learn sign language.,0,
think app connect tutoring services area.,0,
virtual reality fitness game.,0,
Evolution Game,0,
Flash card Program,0,
app would assistant students trying get home night,0,
"create program runs simulation NFL season determines teams win game, much",0,
college campus specific game,0,
Music Rhythm Game,0,
habit-building game virtual rewards.,0,
app learning practicing chess strategies.,0,
"Taking old video games able implement modern day applications, like PC.",0,
plant care app watering sunlight reminders.,1,
goal-setting habit-tracking app.,1,
car maintenance reminder log app.,1,
tool visualizing tracking personal goals.,1,
app tracking reducing personal carbon footprint.,1,
app track analyze sleep patterns.,1,
app tracking migraines triggers.,1,
storytelling app users contribute ongoing stories.,1,
digital journaling app mood tracking features.,1,
app creating personalized yoga routines.,1,
personal security app emergency alerts contacts.,1,
pet care app reminders vaccinations vet appointments.,1,
app tracking public transportation real-time delays schedules.,1,
event planning invitation app organizing gatherings.,1,
crowd-sourced public safety app reporting local incidents real-time.,1,
"app put basic information helps come workout time help focus grow certain skills. example, would put current fitness experience, types workouts like, equipment restrictions, many times per week want workout, short term long term fitness goals would create workout circuit days help reach goals",1,
meditation mindfulness app guided sessions.,1,
Weightlifting / Calesthenics Skill Tree app. Workout tracker that's meant track progressive overload form skill tree keep 'players' motivated.,1,
Illinois Project Health,1,
machine learning program used help doctors determine illness affecting someone,1,
"app automatically compiles assignments different websites (prarielearn, phys 211, cengage, etc.) builds roadmap schedules time work them.",1,
virtual bookshelf app cataloging reviewing books.,2,
platform virtual music collaborations.,2,
Webstore used books/other required class materials UIUC students,2,
platform sharing discovering podcasts.,2,
grading system schools rank students.,2,
Creating website individuals write record daily learnings.,2,
website people buy items (similar amazon),2,
platform hosting virtual art galleries exhibitions.,2,
"individual website contains links sites used different (Canvas, Moodle, etc.)",2,
3rd party music recommendation website would connect user's music listening application choice make recommendations based others listen current trends social media.,2,
virtual study group platform students.,2,
social media platform focused sharing DIY projects.,2,
method prevent copyrighting downloading songs illegally. greatly affects revenue artists able generate.,2,
platform creating sharing digital art.,2,
virtual cooking class platform.,2,
app creating organizing digital scrapbooks.,2,
platform virtual book clubs reading discussions.,2,
investment recommendations,3,
Data analysis,3,
"Animal item identifier algorithm. would take images identify them, could complex build larger algorithm.",3,
"Create experimental stock trading platform / scrape information market, test hypothesis animals better stock traders humans.",3,
Stock suggestion system,3,
program look large amount data make decisions whether sell certain product way efficiently.,3,
virtual wardrobe planner.,-1,0.0
crowd-sourced review app local small businesses.,-1,0.0
virtual reality travel app exploring famous landmarks cities.,-1,0.0
personal finance manager tracks expenses investments.,-1,0.0
Public Clean Streets Platform,-1,1.0
app remote movie watching friends.,-1,1.0
local guide app finding hidden gems city.,-1,1.0
app matches freelance workers local gigs.,-1,1.0
app tracking organizing academic research.,-1,1.0
recipe app suggests meals based ingredients already have.,-1,1.0
local volunteering opportunities finder.,-1,1.0
3-d rendering app could display various shapes rotated various axes.,-1,1.0
rip-off one app rocket money... program track one's expenses current income,-1,1.0
app connects local farmers consumers fresh produce delivery.,-1,1.0
app organizing sharing family recipes.,-1,2.0
remote team-building activities app corporate teams.,-1,2.0
historical facts trivia app.,-1,2.0
real-time weather conditions forecast app.,-1,2.0
time-lapse photography app.,-1,2.0
home workout app customizable routines.,-1,3.0
travel itinerary planner suggestions off-the-beaten-path destinations.,-1,3.0
diet planner nutrition tracker suggests meals based dietary restrictions.,-1,3.0
"augmented reality educational app kids, focusing science history.",-1,4.0
virtual interior design app lets users visualize furniture homes.,-1,4.0
virtual reality app experiencing historical events.,-1,4.0
"Analyze public transport usage data identify peak usage times, popular routes, bottlenecks network.",-1,4.0
